comment_text,severity
"Great explanation, very clear",0
Thank you for your help,0
This information is helpful,0
Nice work on this project,0
Thank you for your help,0
This information is helpful,0
Thank you for your help,0
I enjoyed reading this,0
I appreciate your feedback,0
I really like this idea,0
This information is helpful,0
That sounds like a good plan,0
"Great explanation, very clear",0
Nice work on this project,0
This is a useful suggestion,0
Nice work on this project,0
Nice work on this project,0
Well written and informative,0
This information is helpful,0
Nice work on this project,0
This information is helpful,0
Nice work on this project,0
I enjoyed reading this,0
That sounds like a good plan,0
"Great explanation, very clear",0
This is a useful suggestion,0
Nice work on this project,0
Well written and informative,0
This is a useful suggestion,0
Well written and informative,0
This information is helpful,0
Well written and informative,0
I appreciate your feedback,0
This information is helpful,0
"Great explanation, very clear",0
This information is helpful,0
I appreciate your feedback,0
Thank you for your help,0
This information is helpful,0
I appreciate your feedback,0
I enjoyed reading this,0
Nice work on this project,0
I enjoyed reading this,0
This is a useful suggestion,0
I appreciate your feedback,0
Nice work on this project,0
I enjoyed reading this,0
I appreciate your feedback,0
"Great explanation, very clear",0
I appreciate your feedback,0
I enjoyed reading this,0
I enjoyed reading this,0
I appreciate your feedback,0
Nice work on this project,0
Thank you for your help,0
Nice work on this project,0
I really like this idea,0
That sounds like a good plan,0
Nice work on this project,0
I really like this idea,0
That sounds like a good plan,0
That sounds like a good plan,0
This information is helpful,0
I appreciate your feedback,0
I really like this idea,0
I appreciate your feedback,0
That sounds like a good plan,0
"Great explanation, very clear",0
Thank you for your help,0
Thank you for your help,0
"Great explanation, very clear",0
This information is helpful,0
I appreciate your feedback,0
Thank you for your help,0
I really like this idea,0
"Great explanation, very clear",0
That sounds like a good plan,0
This information is helpful,0
This is a useful suggestion,0
Well written and informative,0
Well written and informative,0
This is a useful suggestion,0
I really like this idea,0
Thank you for your help,0
This information is helpful,0
"Great explanation, very clear",0
That sounds like a good plan,0
Well written and informative,0
"Great explanation, very clear",0
This is a useful suggestion,0
This information is helpful,0
Thank you for your help,0
I appreciate your feedback,0
This is a useful suggestion,0
I really like this idea,0
That sounds like a good plan,0
Nice work on this project,0
"Great explanation, very clear",0
I really like this idea,0
Well written and informative,0
I enjoyed reading this,0
"Great explanation, very clear",0
I enjoyed reading this,0
I enjoyed reading this,0
I really like this idea,0
I enjoyed reading this,0
I appreciate your feedback,0
I really like this idea,0
"Great explanation, very clear",0
Nice work on this project,0
This is a useful suggestion,0
That sounds like a good plan,0
I appreciate your feedback,0
I really like this idea,0
This is a useful suggestion,0
I really like this idea,0
Thank you for your help,0
I really like this idea,0
Nice work on this project,0
That sounds like a good plan,0
Well written and informative,0
I enjoyed reading this,0
I appreciate your feedback,0
That sounds like a good plan,0
I enjoyed reading this,0
This information is helpful,0
I enjoyed reading this,0
"Great explanation, very clear",0
I really like this idea,0
Well written and informative,0
This information is helpful,0
"Great explanation, very clear",0
I enjoyed reading this,0
This is a useful suggestion,0
Nice work on this project,0
"Great explanation, very clear",0
This information is helpful,0
Nice work on this project,0
This is a useful suggestion,0
Thank you for your help,0
Nice work on this project,0
Well written and informative,0
That sounds like a good plan,0
This is a useful suggestion,0
I appreciate your feedback,0
Thank you for your help,0
"Great explanation, very clear",0
Nice work on this project,0
Well written and informative,0
I appreciate your feedback,0
"Great explanation, very clear",0
I appreciate your feedback,0
Thank you for your help,0
I really like this idea,0
I appreciate your feedback,0
Well written and informative,0
This information is helpful,0
Well written and informative,0
That sounds like a good plan,0
Nice work on this project,0
Well written and informative,0
This information is helpful,0
Thank you for your help,0
I enjoyed reading this,0
This is a useful suggestion,0
"Great explanation, very clear",0
Thank you for your help,0
I really like this idea,0
I enjoyed reading this,0
Nice work on this project,0
I appreciate your feedback,0
I really like this idea,0
I really like this idea,0
Nice work on this project,0
I really like this idea,0
I really like this idea,0
That sounds like a good plan,0
I enjoyed reading this,0
"Great explanation, very clear",0
This information is helpful,0
This information is helpful,0
I enjoyed reading this,0
Thank you for your help,0
I really like this idea,0
Nice work on this project,0
"Great explanation, very clear",0
This information is helpful,0
That sounds like a good plan,0
Thank you for your help,0
I enjoyed reading this,0
I really like this idea,0
This is a useful suggestion,0
"Great explanation, very clear",0
This information is helpful,0
I appreciate your feedback,0
This information is helpful,0
This is a useful suggestion,0
That sounds like a good plan,0
I enjoyed reading this,0
Thank you for your help,0
This information is helpful,0
This is a useful suggestion,0
This is a useful suggestion,0
Nice work on this project,0
That sounds like a good plan,0
This information is helpful,0
This is a useful suggestion,0
This information is helpful,0
This is a useful suggestion,0
Well written and informative,0
I enjoyed reading this,0
That sounds like a good plan,0
I appreciate your feedback,0
Nice work on this project,0
Thank you for your help,0
"Great explanation, very clear",0
Well written and informative,0
Nice work on this project,0
That sounds like a good plan,0
I enjoyed reading this,0
I appreciate your feedback,0
This information is helpful,0
Thank you for your help,0
Nice work on this project,0
"Great explanation, very clear",0
Well written and informative,0
This is a useful suggestion,0
I really like this idea,0
That sounds like a good plan,0
Nice work on this project,0
That sounds like a good plan,0
Thank you for your help,0
"Great explanation, very clear",0
This is a useful suggestion,0
Well written and informative,0
Thank you for your help,0
I enjoyed reading this,0
Nice work on this project,0
I enjoyed reading this,0
"Great explanation, very clear",0
Thank you for your help,0
That sounds like a good plan,0
I enjoyed reading this,0
Well written and informative,0
I enjoyed reading this,0
"Great explanation, very clear",0
Well written and informative,0
"Great explanation, very clear",0
This information is helpful,0
Thank you for your help,0
I really like this idea,0
Nice work on this project,0
I appreciate your feedback,0
Thank you for your help,0
I enjoyed reading this,0
I appreciate your feedback,0
Thank you for your help,0
That sounds like a good plan,0
Well written and informative,0
Well written and informative,0
This is a useful suggestion,0
I really like this idea,0
I really like this idea,0
Nice work on this project,0
Thank you for your help,0
This information is helpful,0
This is a useful suggestion,0
"Great explanation, very clear",0
I really like this idea,0
Nice work on this project,0
This is a useful suggestion,0
I appreciate your feedback,0
Well written and informative,0
Thank you for your help,0
I really like this idea,0
That sounds like a good plan,0
Nice work on this project,0
That sounds like a good plan,0
Thank you for your help,0
This is a useful suggestion,0
Well written and informative,0
Nice work on this project,0
Well written and informative,0
This information is helpful,0
Well written and informative,0
This is a useful suggestion,0
I enjoyed reading this,0
I enjoyed reading this,0
"Great explanation, very clear",0
Nice work on this project,0
I appreciate your feedback,0
This information is helpful,0
I enjoyed reading this,0
I enjoyed reading this,0
Thank you for your help,0
That sounds like a good plan,0
That sounds like a good plan,0
This information is helpful,0
I enjoyed reading this,0
That sounds like a good plan,0
"Great explanation, very clear",0
I enjoyed reading this,0
I really like this idea,0
This is a useful suggestion,0
This is a useful suggestion,0
That sounds like a good plan,0
This information is helpful,0
This information is helpful,0
Well written and informative,0
I really like this idea,0
This information is helpful,0
I really like this idea,0
"Great explanation, very clear",0
That sounds like a good plan,0
Thank you for your help,0
This information is helpful,0
I really like this idea,0
This information is helpful,0
Well written and informative,0
I appreciate your feedback,0
I appreciate your feedback,0
Thank you for your help,0
"Great explanation, very clear",0
Well written and informative,0
This information is helpful,0
I really like this idea,0
I really like this idea,0
I really like this idea,0
Thank you for your help,0
Nice work on this project,0
"Great explanation, very clear",0
Well written and informative,0
This information is helpful,0
I really like this idea,0
"Great explanation, very clear",0
This information is helpful,0
That sounds like a good plan,0
I appreciate your feedback,0
I appreciate your feedback,0
"Great explanation, very clear",0
Nice work on this project,0
This is a useful suggestion,0
Well written and informative,0
This information is helpful,0
I enjoyed reading this,0
I appreciate your feedback,0
I appreciate your feedback,0
That sounds like a good plan,0
Well written and informative,0
"Great explanation, very clear",0
"Great explanation, very clear",0
This information is helpful,0
Thank you for your help,0
"Great explanation, very clear",0
"Great explanation, very clear",0
I appreciate your feedback,0
Well written and informative,0
I really like this idea,0
Well written and informative,0
I appreciate your feedback,0
I really like this idea,0
Well written and informative,0
Thank you for your help,0
That sounds like a good plan,0
Thank you for your help,0
Thank you for your help,0
Well written and informative,0
I really like this idea,0
This is a useful suggestion,0
I enjoyed reading this,0
That sounds like a good plan,0
I appreciate your feedback,0
This information is helpful,0
I really like this idea,0
That sounds like a good plan,0
Nice work on this project,0
That sounds like a good plan,0
That sounds like a good plan,0
I enjoyed reading this,0
Nice work on this project,0
This information is helpful,0
That sounds like a good plan,0
I enjoyed reading this,0
I really like this idea,0
Nice work on this project,0
Well written and informative,0
That sounds like a good plan,0
"Great explanation, very clear",0
Well written and informative,0
Thank you for your help,0
Well written and informative,0
Well written and informative,0
I really like this idea,0
Thank you for your help,0
Thank you for your help,0
This is a useful suggestion,0
Well written and informative,0
That sounds like a good plan,0
"Great explanation, very clear",0
Thank you for your help,0
I appreciate your feedback,0
I enjoyed reading this,0
Thank you for your help,0
This information is helpful,0
"Great explanation, very clear",0
I really like this idea,0
That sounds like a good plan,0
Well written and informative,0
I appreciate your feedback,0
That sounds like a good plan,0
I enjoyed reading this,0
I really like this idea,0
I really like this idea,0
"Great explanation, very clear",0
That sounds like a good plan,0
I enjoyed reading this,0
I enjoyed reading this,0
This information is helpful,0
"Great explanation, very clear",0
I really like this idea,0
I really like this idea,0
I enjoyed reading this,0
I appreciate your feedback,0
Well written and informative,0
I really like this idea,0
"Great explanation, very clear",0
Thank you for your help,0
Thank you for your help,0
I really like this idea,0
Nice work on this project,0
This information is helpful,0
Nice work on this project,0
This is a useful suggestion,0
Thank you for your help,0
This is a useful suggestion,0
This is a useful suggestion,0
Thank you for your help,0
I really like this idea,0
This information is helpful,0
Thank you for your help,0
This is a useful suggestion,0
"Great explanation, very clear",0
"Great explanation, very clear",0
I really like this idea,0
That sounds like a good plan,0
I really like this idea,0
"Great explanation, very clear",0
Thank you for your help,0
This information is helpful,0
Thank you for your help,0
That sounds like a good plan,0
This is a useful suggestion,0
I really like this idea,0
Well written and informative,0
I really like this idea,0
Nice work on this project,0
"Great explanation, very clear",0
I enjoyed reading this,0
I really like this idea,0
This information is helpful,0
I enjoyed reading this,0
I really like this idea,0
I really like this idea,0
"Great explanation, very clear",0
I really like this idea,0
Thank you for your help,0
"Great explanation, very clear",0
"Great explanation, very clear",0
This information is helpful,0
"Great explanation, very clear",0
Nice work on this project,0
That sounds like a good plan,0
This is a useful suggestion,0
I appreciate your feedback,0
Nice work on this project,0
Nice work on this project,0
Nice work on this project,0
"Great explanation, very clear",0
Nice work on this project,0
I enjoyed reading this,0
Thank you for your help,0
Well written and informative,0
"Great explanation, very clear",0
Thank you for your help,0
I appreciate your feedback,0
"Great explanation, very clear",0
Thank you for your help,0
Well written and informative,0
"Great explanation, very clear",0
I enjoyed reading this,0
Thank you for your help,0
Well written and informative,0
I enjoyed reading this,0
I really like this idea,0
This is a useful suggestion,0
I appreciate your feedback,0
"Great explanation, very clear",0
Well written and informative,0
Nice work on this project,0
I appreciate your feedback,0
Nice work on this project,0
"Great explanation, very clear",0
That sounds like a good plan,0
This information is helpful,0
I really like this idea,0
Well written and informative,0
I really like this idea,0
I appreciate your feedback,0
I appreciate your feedback,0
That sounds like a good plan,0
This information is helpful,0
Well written and informative,0
This information is helpful,0
I appreciate your feedback,0
I enjoyed reading this,0
I enjoyed reading this,0
I really like this idea,0
I appreciate your feedback,0
I appreciate your feedback,0
Well written and informative,0
This information is helpful,0
"Great explanation, very clear",0
This information is helpful,0
I appreciate your feedback,0
I enjoyed reading this,0
I appreciate your feedback,0
That sounds like a good plan,0
This information is helpful,0
Thank you for your help,0
This information is helpful,0
I enjoyed reading this,0
I appreciate your feedback,0
Nice work on this project,0
This is a useful suggestion,0
Well written and informative,0
Nice work on this project,0
This is a useful suggestion,0
I really like this idea,0
"Great explanation, very clear",0
Nice work on this project,0
Nice work on this project,0
Nice work on this project,0
That sounds like a good plan,0
This information is helpful,0
Thank you for your help,0
Thank you for your help,0
"Great explanation, very clear",0
I appreciate your feedback,0
This information is helpful,0
This is a useful suggestion,0
Thank you for your help,0
"Great explanation, very clear",0
I enjoyed reading this,0
I appreciate your feedback,0
I enjoyed reading this,0
That sounds like a good plan,0
Nice work on this project,0
That sounds like a good plan,0
"Great explanation, very clear",0
Well written and informative,0
This is a useful suggestion,0
I enjoyed reading this,0
This information is helpful,0
"Great explanation, very clear",0
Nice work on this project,0
I enjoyed reading this,0
"Great explanation, very clear",0
I enjoyed reading this,0
This is a useful suggestion,0
Nice work on this project,0
I really like this idea,0
Thank you for your help,0
Well written and informative,0
"Great explanation, very clear",0
"Great explanation, very clear",0
Well written and informative,0
This is a useful suggestion,0
I enjoyed reading this,0
This is a useful suggestion,0
This is a useful suggestion,0
Thank you for your help,0
Well written and informative,0
Well written and informative,0
Well written and informative,0
Nice work on this project,0
I appreciate your feedback,0
That sounds like a good plan,0
I appreciate your feedback,0
That sounds like a good plan,0
I really like this idea,0
Nice work on this project,0
This is a useful suggestion,0
Thank you for your help,0
I really like this idea,0
Thank you for your help,0
This information is helpful,0
I enjoyed reading this,0
This is a useful suggestion,0
"Great explanation, very clear",0
I appreciate your feedback,0
That sounds like a good plan,0
Well written and informative,0
I enjoyed reading this,0
Nice work on this project,0
Nice work on this project,0
I enjoyed reading this,0
Thank you for your help,0
I enjoyed reading this,0
This is a useful suggestion,0
Thank you for your help,0
I enjoyed reading this,0
This is a useful suggestion,0
Thank you for your help,0
This information is helpful,0
I enjoyed reading this,0
I appreciate your feedback,0
Well written and informative,0
I really like this idea,0
"Great explanation, very clear",0
Well written and informative,0
Nice work on this project,0
"Great explanation, very clear",0
"Great explanation, very clear",0
I appreciate your feedback,0
This information is helpful,0
This is a useful suggestion,0
This is a useful suggestion,0
This information is helpful,0
Thank you for your help,0
Well written and informative,0
That sounds like a good plan,0
This information is helpful,0
Well written and informative,0
Thank you for your help,0
This is a useful suggestion,0
This is a useful suggestion,0
This is a useful suggestion,0
Well written and informative,0
Thank you for your help,0
I enjoyed reading this,0
I appreciate your feedback,0
I appreciate your feedback,0
This information is helpful,0
"Great explanation, very clear",0
I appreciate your feedback,0
Thank you for your help,0
"Great explanation, very clear",0
This is a useful suggestion,0
I really like this idea,0
This information is helpful,0
Thank you for your help,0
"Great explanation, very clear",0
I enjoyed reading this,0
Thank you for your help,0
"Great explanation, very clear",0
This information is helpful,0
That sounds like a good plan,0
Nice work on this project,0
Well written and informative,0
I appreciate your feedback,0
Thank you for your help,0
Thank you for your help,0
I enjoyed reading this,0
I really like this idea,0
Well written and informative,0
Well written and informative,0
This is a useful suggestion,0
"Great explanation, very clear",0
Nice work on this project,0
That sounds like a good plan,0
Well written and informative,0
I really like this idea,0
This is a useful suggestion,0
This is a useful suggestion,0
I appreciate your feedback,0
That sounds like a good plan,0
Well written and informative,0
I really like this idea,0
Thank you for your help,0
I appreciate your feedback,0
This information is helpful,0
I enjoyed reading this,0
Well written and informative,0
I really like this idea,0
Nice work on this project,0
I really like this idea,0
I appreciate your feedback,0
Nice work on this project,0
This information is helpful,0
"Great explanation, very clear",0
Nice work on this project,0
Well written and informative,0
"Great explanation, very clear",0
This information is helpful,0
This is a useful suggestion,0
I appreciate your feedback,0
"Great explanation, very clear",0
This is a useful suggestion,0
That sounds like a good plan,0
This information is helpful,0
This information is helpful,0
"Great explanation, very clear",0
Well written and informative,0
Thank you for your help,0
This is a useful suggestion,0
Nice work on this project,0
I appreciate your feedback,0
This is a useful suggestion,0
I appreciate your feedback,0
Nice work on this project,0
Nice work on this project,0
That comment makes no sense,1
You are being annoying,1
You are being annoying,1
That comment makes no sense,1
That comment makes no sense,1
Stop acting weird,1
You sound confused,1
That was a silly mistake,1
This is kind of stupid,1
You are not very smart,1
That was unnecessary,1
You sound confused,1
Stop acting weird,1
This is kind of stupid,1
You sound confused,1
That comment makes no sense,1
Stop acting weird,1
This is pointless,1
That was a silly mistake,1
This is kind of stupid,1
This is kind of stupid,1
You sound confused,1
That was unnecessary,1
This is pointless,1
That was unnecessary,1
That was a silly mistake,1
That was unnecessary,1
This is pointless,1
This is kind of stupid,1
You are not very smart,1
That was unnecessary,1
Stop acting weird,1
This is kind of stupid,1
That was a silly mistake,1
You are not very smart,1
Stop acting weird,1
That was unnecessary,1
You are being annoying,1
You are being annoying,1
This is kind of stupid,1
Please stop being rude,1
This is pointless,1
Stop acting weird,1
You are being annoying,1
That comment makes no sense,1
That was unnecessary,1
This is pointless,1
Stop acting weird,1
That was a silly mistake,1
This is pointless,1
Stop acting weird,1
Please stop being rude,1
Stop acting weird,1
This is pointless,1
That was a silly mistake,1
That was unnecessary,1
You sound confused,1
This is pointless,1
This is pointless,1
That comment makes no sense,1
That was a silly mistake,1
Stop acting weird,1
You are being annoying,1
This is pointless,1
That was unnecessary,1
You are being annoying,1
This is kind of stupid,1
Please stop being rude,1
That comment makes no sense,1
That was unnecessary,1
This is pointless,1
Stop acting weird,1
That was unnecessary,1
You sound confused,1
You sound confused,1
You sound confused,1
That was a silly mistake,1
This is pointless,1
Please stop being rude,1
That was unnecessary,1
That was a silly mistake,1
Please stop being rude,1
Please stop being rude,1
You are not very smart,1
That was unnecessary,1
This is pointless,1
This is pointless,1
That was unnecessary,1
That was unnecessary,1
Stop acting weird,1
You are being annoying,1
You are not very smart,1
You sound confused,1
This is pointless,1
Please stop being rude,1
Stop acting weird,1
You sound confused,1
Stop acting weird,1
That comment makes no sense,1
You are being annoying,1
This is pointless,1
You sound confused,1
This is kind of stupid,1
You sound confused,1
Please stop being rude,1
That comment makes no sense,1
That was a silly mistake,1
Please stop being rude,1
That was a silly mistake,1
That comment makes no sense,1
That was unnecessary,1
You sound confused,1
Please stop being rude,1
That was a silly mistake,1
You are being annoying,1
You are being annoying,1
You are being annoying,1
Stop acting weird,1
This is pointless,1
Please stop being rude,1
This is kind of stupid,1
That comment makes no sense,1
That comment makes no sense,1
Please stop being rude,1
This is kind of stupid,1
That was unnecessary,1
You are being annoying,1
Stop acting weird,1
Stop acting weird,1
This is kind of stupid,1
You are being annoying,1
Please stop being rude,1
This is pointless,1
You are being annoying,1
That was unnecessary,1
You sound confused,1
You are not very smart,1
This is kind of stupid,1
Stop acting weird,1
That was a silly mistake,1
That comment makes no sense,1
Please stop being rude,1
You are being annoying,1
You are being annoying,1
This is kind of stupid,1
That was unnecessary,1
Please stop being rude,1
That comment makes no sense,1
That comment makes no sense,1
You are not very smart,1
You sound confused,1
That comment makes no sense,1
You sound confused,1
You are not very smart,1
Stop acting weird,1
You sound confused,1
You are being annoying,1
You sound confused,1
This is kind of stupid,1
You sound confused,1
You sound confused,1
Stop acting weird,1
This is kind of stupid,1
Stop acting weird,1
That was a silly mistake,1
That was unnecessary,1
Stop acting weird,1
You sound confused,1
You are not very smart,1
This is kind of stupid,1
This is kind of stupid,1
That comment makes no sense,1
That comment makes no sense,1
That was a silly mistake,1
That was a silly mistake,1
That comment makes no sense,1
You are not very smart,1
Stop acting weird,1
That comment makes no sense,1
Please stop being rude,1
That comment makes no sense,1
That was unnecessary,1
That was unnecessary,1
You are being annoying,1
That was a silly mistake,1
You are being annoying,1
Please stop being rude,1
This is kind of stupid,1
You sound confused,1
This is kind of stupid,1
That comment makes no sense,1
You sound confused,1
This is pointless,1
That was unnecessary,1
You sound confused,1
Stop acting weird,1
Stop acting weird,1
You sound confused,1
You sound confused,1
You sound confused,1
You are being annoying,1
This is kind of stupid,1
This is pointless,1
That comment makes no sense,1
You are being annoying,1
This is pointless,1
That was a silly mistake,1
You are not very smart,1
This is kind of stupid,1
This is pointless,1
That was unnecessary,1
That comment makes no sense,1
This is kind of stupid,1
You are not very smart,1
That comment makes no sense,1
You are being annoying,1
Stop acting weird,1
This is kind of stupid,1
You sound confused,1
This is pointless,1
This is kind of stupid,1
That comment makes no sense,1
That was unnecessary,1
That comment makes no sense,1
This is pointless,1
That was a silly mistake,1
You sound confused,1
You are being annoying,1
You sound confused,1
That comment makes no sense,1
This is kind of stupid,1
Stop acting weird,1
You are being annoying,1
You are not very smart,1
That comment makes no sense,1
That comment makes no sense,1
You sound confused,1
Stop acting weird,1
That was a silly mistake,1
You are being annoying,1
That comment makes no sense,1
That was a silly mistake,1
You are being annoying,1
That comment makes no sense,1
That comment makes no sense,1
That was a silly mistake,1
This is kind of stupid,1
This is pointless,1
You are not very smart,1
That comment makes no sense,1
You are being annoying,1
You are not very smart,1
That was unnecessary,1
This is kind of stupid,1
You sound confused,1
That was a silly mistake,1
You are being annoying,1
Stop acting weird,1
That was unnecessary,1
This is pointless,1
That was a silly mistake,1
This is pointless,1
You sound confused,1
Please stop being rude,1
Please stop being rude,1
You sound confused,1
This is kind of stupid,1
You sound confused,1
Stop acting weird,1
You are being annoying,1
That was unnecessary,1
That was a silly mistake,1
This is pointless,1
Please stop being rude,1
That comment makes no sense,1
You are being annoying,1
That was a silly mistake,1
That was unnecessary,1
That comment makes no sense,1
You are being annoying,1
That comment makes no sense,1
You are being annoying,1
This is kind of stupid,1
That was unnecessary,1
You sound confused,1
Please stop being rude,1
That was a silly mistake,1
That was a silly mistake,1
This is pointless,1
Stop acting weird,1
This is kind of stupid,1
That was unnecessary,1
That was unnecessary,1
You are being annoying,1
That was a silly mistake,1
That comment makes no sense,1
That was a silly mistake,1
This is pointless,1
You are being annoying,1
This is pointless,1
This is pointless,1
You are being annoying,1
You are not very smart,1
This is kind of stupid,1
You sound confused,1
Please stop being rude,1
You are not very smart,1
You are not very smart,1
Stop acting weird,1
Please stop being rude,1
You are being annoying,1
You sound confused,1
You are not very smart,1
You are being annoying,1
You are being annoying,1
You are being annoying,1
Please stop being rude,1
That comment makes no sense,1
You are being annoying,1
That was a silly mistake,1
You sound confused,1
You are not very smart,1
You are being annoying,1
This is kind of stupid,1
Stop acting weird,1
This is pointless,1
